IDEmpresa;Nombre Comercial;Web;Dirección;C.P.;Localidad;Provincia;HEART OF SPAIN
2857;REVISAN;www.revisan.com;POL. INDUSTRIAL AGROALIMENTARIO DE GUIJUELO SIERRA DE HERREROS 9;37770;GUIJUELO;SALAMANCA;
33225;SOCIEDAD COOPERATIVA LOS ZAMORANOS;www.loszamoranos.com;CARRETERA SALAMANCA 38;49400;FUENTESAUCO;ZAMORA;
33300;BODEGAS RODRIGUEZ Y SANZO;www.rodriguezsanzo.com;AVENIDA TORDESILLAS 5;47490;RUEDA;VALLADOLID;
33644;EL SECRETO DEL ABAD;www.elsecretodelabad.es;CALLE JUPITER 15;47009;VALLADOLID;VALLADOLID;
36691;BELLORI;www.bellorivinos.com;CALLE C/ NUÑEZ DE ARCE 18  BAJO D;47002;VALLADOLID;VALLADOLID;
38335;ENTRESETAS;www.entresetas.com;CARRETERA 615 KM. FINCA MOLINO NUEVO 22;34300;PAREDES DE NAVA;PALENCIA;
39716;QUEVANA;https://quevana.es/;CAMINO VIEJO 1;40196;LASTRILLA (LA);SEGOVIA;
39755;QUESOS MOSTELARES;http://www.quesosmostelares.es;CARRETERA CASTROJERIZ 3;09119;HINESTROSA;BURGOS;
39835;RAUL MARTINEZ TERAN;http://rosquillasartesanas.es;CALLE LOPEZ BRAVO 24 NAVE 22;09001;VILLALONQUEJAR;BURGOS;
40255;GONZALEZ FISCHER;https://gonzalezfischer.com/;CALLE REAL 53;40237;SACRAMENIA;SEGOVIA;
38;ASOCIACION VACUNO DE CALIDAD DE SALAMANCA;www.terneracharra.org;CALLE BIERZO 37;37006;SALAMANCA;SALAMANCA;
248;JAMONES Y EMBUTIDOS ANTONIO MARTIN E HIJOS;www.jamonesguijuelo.com;CARRETERA DE LEDRADA S/N;37776;NAVA DE BEJAR;SALAMANCA;
392;BODEGA DEL ABAD;www.bodegadelabad.com;CARRETERA N-VI KM. 396;24549;CARRACEDELO;LEON;
409;BODEGA ERESMA-LA SOTERRAÑA;www.bodegaslasoterrana.com;POL. INDUSTRIAL JOSE ANTONIO GONZALEZ CAVIEDES PARC. 144-148;47410;OLMEDO;VALLADOLID;
503;BODEGAS FELIX LORENZO CACHAZO;www.cachazo.com;CARRETERA MEDINA DEL CAMPO KM. 9;47220;POZALDEZ;VALLADOLID;
555;BODEGAS PINGON;www.bodegaspingon.com;CARRETERA N-122 KM. 311 PAGO DE PIGON;47314;PADILLA DE DUERO;VALLADOLID;
721;MONTE PINOS;www.montepinos.com;AVENIDA DE SORIA S/N;42200;ALMAZAN;SORIA;
1001;CONSERVAS ANDA;www.conservasanda.com;PASEO VIRGEN DEL CANTO 11;49800;TORO;ZAMORA;
1002;CONSERVAS GABEMAR;www.gabemar.com;CALLE FONTANINA S/N;49519;FRADELLOS;ZAMORA;
1005;CONSERVAS RAMOS;www.conservasramos.es;POL. INDUSTRIAL HERRERA DE PISUERGA PARC. 3-5;34400;HERRERA DE PISUERGA;PALENCIA;
